,datetime,state,tg,ti,tw1,tw2,tw3,tc1,tc2,tc3,to,thop,tcool,tv,pg,pi,po,pv,dpo,dpf,dpv,mdoti,mdoto,gai,gao,m_add,datetime_tooltip,value_display,event_display,pg_lowpass,po_lowpass,pv_lowpass,pi_lowpass,dpo_lowpass,dpf_lowpass,dpv_lowpass,mdoti_lowpass,mdoto_lowpass,ms,fill_height
140,2023-01-11 08:48:52.651569,2,0,10.88980675,10.1141758,9.59359169,10.33619785,9.842040062,10.12370777,8.778105736,10.58028412,9.835493088,0.0,9.773646355,-0.824450617,0.8847424,0,0.671093273,-0.138017336,0.022219509,-0.05148944,0.084081426,0.080682975,0.065355212,0.008545965,,2023-01-11 08:48:52,,none,-0.8431950038520154,0.0,0.6033027831517676,0.8775601866198215,-0.14101277203017,0.02193536525839775,-0.05293183252970228,0.08465432263135551,0.08101772798012376,0,0.0
145,2023-01-11 08:48:57.703970,2,0,10.88155365,10.13076019,9.562876701,10.35048676,9.832350731,10.07695007,8.737820625,10.56843567,9.836255074,0.0,9.783735275,-0.885493224,0.823699792,0,0.579529361,-0.147631547,0.025424246,-0.057898913,0.085409955,0.084166659,0.061761261,0.007935539,,2023-01-11 08:48:57,,none,-0.8457244492348515,0.0,0.5983439682277542,0.8821846667381524,-0.14070478224549893,0.02141287166096945,-0.053559431087014074,0.08463710121447797,0.08139439442121821,0,0.0
150,2023-01-11 08:49:02.757559,2,0,10.88226223,10.11541843,9.589310646,10.34469986,9.839288712,10.10414124,8.713405609,10.60319805,9.865678787,0.0,9.791323662,-0.885493224,0.854221096,0,0.579529361,-0.134812599,0.028628983,-0.053625931,0.082974103,0.081414534,0.061742808,0.008545965,,2023-01-11 08:49:02,,none,-0.848233754056834,0.0,0.5952446069396033,0.8874220650414368,-0.14027457496060095,0.020932025061075603,-0.054286175488496714,0.08459971342586346,0.08184936101249311,0,0.0
155,2023-01-11 08:49:07.835188,2,0,10.88838196,10.13147545,9.589801788,10.34241486,9.848570824,10.09507847,8.747548103,10.58531189,9.865748405,0.0,9.801651001,-0.85497192,0.8847424,0,0.610050665,-0.138017336,0.019014772,-0.058967159,0.084081637,0.085141026,0.070801479,0.010377243,,2023-01-11 08:49:07,,none,-0.8493424440746266,0.0,0.5949536850212314,0.8938512521860391,-0.1400817820136982,0.020215113886369155,-0.05460515958705824,0.08462939132751955,0.08207863107300253,0,0.0
160,2023-01-11 08:49:12.914416,3,0,10.89408112,10.12647724,9.58860302,10.34849739,9.859984398,10.10993099,8.726081848,10.5785408,9.852095604,0.0,9.798179626,-0.916014528,0.8847424,0,0.549008058,-0.129471371,0.021151264,-0.056830668,0.082028204,0.083163032,0.061724366,0.007325113,,2023-01-11 08:49:12,,none,-0.8490526323158982,0.0,0.593766863482006,0.9025084346583458,-0.13995018984047178,0.019700144838776062,-0.054633886400582414,0.08469585772151217,0.08210424597305134,0,0.0
165,2023-01-11 08:49:17.984099,3,0,10.8922987,10.12545872,9.575265884,10.34251213,9.835183144,10.07443142,8.701649666,10.60122967,9.902312279,0.0,9.797162056,-0.85497192,0.8847424,0,0.610050665,-0.134812599,0.019014772,-0.055762422,0.083325879,0.083096607,0.059908944,0.007935539,,2023-01-11 08:49:17,,none,-0.8457194736586995,0.0,0.594065388309535,0.9129836891187729,-0.14009738328794516,0.01945130597129256,-0.05449019754174976,0.08484881652596642,0.08202695382256718,0,0.0
170,2023-01-11 08:49:23.064722,3,0,10.8968668,10.13079357,9.586216927,10.34975529,9.856069565,10.09913731,8.747784615,10.57988167,9.848468781,0.0,9.797145844,-0.85497192,0.8847424,0,0.579529361,-0.13694909,0.017946527,-0.050421194,0.083830553,0.079244349,0.058093521,0.006714687,,2023-01-11 08:49:23,,none,-0.8425626635516505,0.0,0.5929497034020083,0.92425365550224,-0.14034363958123575,0.019516218793057115,-0.054134246349841895,0.08503263916415349,0.08178866495319885,0,0.0
175,2023-01-11 08:49:28.132750,0,0,10.88856602,10.12363434,9.588064194,10.35215092,9.844922066,10.09334087,8.736631393,10.60894871,9.868372917,0.0,9.80603981,-0.793929313,0.945785008,0,0.579529361,-0.14442681,0.009400562,-0.05148944,0.086250811,0.079976863,0.061687516,0.007325113,,2023-01-11 08:49:28,,none,-0.8400341805205765,0.0,0.5925642182592589,0.9347390417307891,-0.1404447555921049,0.019583926031821075,-0.053997105613569525,0.08517132774167924,0.08169390568209237,0,0.0
180,2023-01-11 08:49:33.198072,0,0,10.89733219,10.12323284,9.573317528,10.35098553,9.854255676,10.1038208,8.707731247,10.58139038,9.858769417,0.0,9.801815987,-0.824450617,0.976306312,0,0.610050665,-0.142290319,0.020083018,-0.053625931,0.086069371,0.081684988,0.05985531,0.007325113,,2023-01-11 08:49:33,,none,-0.8394344656290323,0.0,0.5934110229948122,0.9439265557723936,-0.14041254382234306,0.019673098971861886,-0.053737172063208036,0.08526232501679722,0.08152431040661423,0,0.0
185,2023-01-11 08:49:38.252900,0,0,10.8950882,10.1339798,9.590959549,10.35676479,9.853167534,10.09929276,8.742204666,10.60589981,9.834746361,0.0,9.805685043,-0.824450617,0.915263704,0,0.610050665,-0.143358564,0.024356,-0.047216457,0.085664014,0.077199817,0.063520816,0.008545965,,2023-01-11 08:49:38,,none,-0.838747478237545,0.0,0.5964770218711475,0.9518166428978595,-0.1404278104382083,0.019656071562666376,-0.053302259318656064,0.08534935903032012,0.08126109550725805,0,0.0
