,datetime,state,tg,ti,tw1,tw2,tw3,tc1,tc2,tc3,to,thop,tcool,tv,pg,pi,po,pv,dpo,dpf,dpv,mdoti,mdoto,gai,gao,m_add,sfl,datetime_tooltip,value_display,event_display,pg_lowpass,po_lowpass,pv_lowpass,pi_lowpass,dpo_lowpass,dpf_lowpass,dpv_lowpass,mdoti_lowpass,mdoto_lowpass,sfl_lowpass,ms,fill_height
120,2023-02-23 08:56:37.266349,0,0,10.21815681,9.31038475,8.701271057,9.634932518,9.120341301,9.340934753,8.477941513,9.813941956,9.180143356,0.0,9.145606995,-0.030896716,1.556211085,0,1.342561958,-0.133744354,0,-0.058967159,0.087498003,0.088649753,0.016232139,0.007935539,0.0,2.567287755,2023-02-23 08:56:37,,none,2.118708151234093,0.0,1.9217825396548116,2.875218702901352,0.8423846665167986,0.0,0.17741526857424306,0.1187746591217175,0.14110159191482885,2.569099603630799,0.0,0.0
125,2023-02-23 08:56:42.316745,0,0,10.21319199,9.299300194,8.69614315,9.644873619,9.119802475,9.349953651,8.47931385,9.769672394,9.150772095,0.0,9.131082535,-0.641322793,1.373083262,0,1.373083262,-0.150836284,0,-0.057898913,0.091267232,0.08796016,0.018067879,0.008545965,0.0,2.569139788,2023-02-23 08:56:42,,none,3.161253443521164,0.0,2.17821871208597,3.5055139963105777,1.3144562526096606,0.0,0.2917313953609918,0.13327020847542884,0.16600096693316788,2.5691438722105033,0.0,0.0
130,2023-02-23 08:56:47.388234,0,0,16.95916557,9.291778564,8.695848465,9.650348663,10.16073322,9.441025734,8.591451645,9.909992218,9.138971329,0.0,9.135029793,7.202652301,6.836396655,0,2.899148456,1.496398486,0,0.624710048,0.268352821,0.2570949,0.015439541,0.008545965,0.0,2.569602796,2023-02-23 08:56:47,,none,4.535150998512364,0.0,2.5112645752429423,4.367320408713563,1.885980857419198,0.0,0.4406482375355207,0.1564905434872165,0.19901525879147772,2.569141694224239,0.0,0.0
135,2023-02-23 08:56:52.443706,0,0,36.03816986,9.381363869,8.925225258,9.720425606,16.53760147,11.78719711,11.01307583,15.51065922,9.059809685,0.0,10.57109451,10.89573007,7.874120986,0,3.082276279,0.093791967,0,0.913136369,0.076030636,0.290410652,0.033983967,0.007935539,0.0,2.569139788,2023-02-23 08:56:52,,none,5.520989191907252,0.0,2.769849001550951,4.966869468352281,2.195303196873207,0.0,0.5617142991994108,0.17737825270326904,0.22450170975985229,2.5691325225585078,0.0,0.0
140,2023-02-23 08:56:57.510076,0,0,55.10663223,9.588954926,9.48939991,10.04149342,24.02630615,16.47581673,15.23511314,24.23303986,9.123013496,0.0,14.01484776,8.515068368,5.798672323,0,3.295925406,1.27527164,0,0.955866195,0.231580453,0.297231698,0.133373767,0.021975339,0.0,2.568676779,2023-02-23 08:56:57,,none,6.032717925925196,0.0,2.950158673230704,5.292860550631883,2.469094557908021,0.0,0.6383688237331729,0.19233200220319624,0.24055984176208312,2.5691136990164547,0.0,0.0
145,2023-02-23 08:57:02.565565,0,0,71.49928284,9.787690163,10.07123852,10.39532661,29.67195129,21.30619621,19.53191757,32.1455574,9.319796562,0.0,17.88282776,8.820281406,5.096682334,0,3.295925406,3.053900623,0,0.362989867,0.232331283,0.209044074,0.254559054,0.056159199,0.0,2.567750763,2023-02-23 08:57:02,,none,6.375346039488057,0.0,3.0765147654076985,5.531856364575175,2.6424421230995705,0.0,0.6871016701426539,0.2033198432170558,0.25038366250224703,2.5690565556112905,0.0,0.0
150,2023-02-23 08:57:07.611909,0,0,84.6072998,10.08045197,10.7840023,10.8068161,33.67813492,25.29310417,23.4278183,38.30693436,9.248087883,0.0,21.14356804,6.714311439,7.11108839,0,3.540095837,3.501495544,0,0.865065316,0.284111231,0.290462389,0.383299358,0.112318398,0.0,2.569139788,2023-02-23 08:57:07,,none,6.533225525621064,0.0,3.1585651347906567,5.710898698314408,2.700094055044961,0.0,0.7437316033455974,0.2101238947309957,0.25944513831141036,2.5690733505842975,0.0,0.0
155,2023-02-23 08:57:12.675039,0,0,97.74428558,10.44286251,11.3754549,11.24357128,39.14614868,28.95300293,26.96242714,44.38232422,9.374446869,0.0,24.43766785,6.805875351,4.577820168,0,3.295925406,1.17485655,0,0.952661458,0.201736736,0.291732701,0.499348382,0.165425467,0.0,2.568213771,2023-02-23 08:57:12,,none,6.705496129927413,0.0,3.2136484120769118,5.899113014900849,2.707064755525204,0.0,0.802316938287182,0.21338833248790234,0.2672289480605198,2.5690714982649507,0.0,0.0
160,2023-02-23 08:57:17.729335,0,0,107.0099182,10.83361816,11.95403099,11.65172768,44.51190567,31.32653427,29.42811775,49.61383057,9.465177536,0.0,26.54984665,7.050045782,4.638862776,0,3.540095837,2.213191308,0,0.52856794,0.220530769,0.242001586,0.653156576,0.252716396,0.0,2.570528812,2023-02-23 08:57:17,,none,6.929793638852702,0.0,3.265914390228537,6.109246304772239,2.772023433380798,0.0,0.8416450305567721,0.21728769030574518,0.27229001434758415,2.569158977368801,0.0,0.0
165,2023-02-23 08:57:22.793285,0,0,114.9307251,11.29121494,12.48499012,12.02245808,49.5345192,33.40450287,31.58681297,54.09704971,9.578221321,0.0,28.31252861,7.294216213,6.805875351,0,3.601138445,0.330942498,0,0.807380051,0.123746333,0.281839337,0.792786884,0.355878403,0.0,2.570065804,2023-02-23 08:57:22,,none,7.096202952091655,0.0,3.3167669263890636,6.247230788689458,2.7017706354787396,0.0,0.8767867070190224,0.21905014537889045,0.2768508042527382,2.569229970580863,0.0,0.0
